Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
0.004670312	54.5795092
0.004680053	54.66384778
0.004689633	54.69761961
0.004699969	54.81008869
0.004710663	54.87074932
0.004720917	54.91911136
0.004731803	55.02568895
0.004742544	55.07437052
0.004752889	55.15871986
0.004762089	55.24703157
0.004774592	55.24600499
0.004783458	55.30244728
0.004792487	55.45138228
0.004803661	55.52932763
0.004814394	55.43342554
0.004824394	55.63596647
0.004834265	55.69041143
0.004844673	55.65421311
0.004853854	55.74686411
0.004864135	55.82389378
0.004874597	55.84788535
0.004885723	55.97211727
0.004895741	56.01957626
0.004905505	56.0653843
0.004914821	56.13723926
0.00492701	56.15320591
0.004937047	56.24953716
0.004947166	56.24973819
0.004957461	56.2961827
0.004967604	56.36886281
0.00497837	56.5214959
0.004987174	56.51169879
0.00499894	56.58942177
0.005009335	56.66024514
0.005018243	56.7047865
0.005029591	56.8234328
0.00503889	56.82745248
0.005050055	56.8561712
0.00505996	56.89945275
0.005069779	57.06923617
0.005081167	57.0867083
0.005090073	57.22283671
0.0051011	57.26138179
0.005110872	57.2513457
0.005120297	57.38336942
0.005130986	57.35581145
0.005140333	57.52323185
0.00515228	57.54615405
0.005162437	57.58137018
0.005172967	57.67809533
0.005182871	57.76315136
0.005192339	57.80755151
0.005203604	57.81820537
0.005213436	57.85142651
0.005223392	57.94072111
0.005235707	58.00735295
0.00524319	58.01193148
0.005255014	58.12748483
0.005264792	58.17703394
0.005274178	58.29072117
0.005284506	58.29908509
0.005295367	58.35775243
0.005305738	58.42663749
0.005316028	58.48651484
0.00532497	58.52838834
0.005336191	58.56343252
0.005346186	58.59825492
0.005356897	58.67515863
0.005366971	58.78408406
0.005376546	58.84620674
0.005386703	58.9393002
0.005397685	58.98318131
0.005408348	59.00671896
0.00541801	59.03308044
0.005428218	59.09939338
0.005438361	59.15499777
0.005448698	59.2487739
0.005458159	59.26529255
0.005469225	59.37042791
0.00547943	59.43721882
0.00548963	59.47330196
0.005499896	59.47983875
0.005510667	59.64931215
0.005519469	59.66467899
0.005531137	59.6975775
0.005540517	59.79133115
0.005550748	59.78817911
0.005560519	59.90249167
0.005571703	59.86979148
0.005581473	60.02791289
0.005591426	60.09037846
0.00560068	60.11906552
0.005612485	60.19812151
0.005621553	60.25122292
0.005630594	60.32540574
0.005642696	60.41934271
0.005652761	60.39657581
0.005663787	60.47558709
0.005673678	60.54987895
