Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[rad]
48.90820313	0.397367461	-0.0085426
49.0078125	0.432268338	-0.0095034
49.10742188	0.474197441	-0.0103834
49.20703125	0.517112028	-0.0113234
49.30664063	0.553219463	-0.0122534
49.40625	0.598044659	-0.0131834
49.50585938	0.634993077	-0.0141234
49.60546875	0.678319426	-0.0150434
49.70507813	0.71537745	-0.0159334
49.8046875	0.75926003	-0.0168734
49.90429688	0.796914857	-0.0177934
50.00390625	0.830355391	-0.0187274
50.10351563	0.876354228	-0.0196904
50.203125	0.913270225	-0.0205634
50.30273438	0.953644456	-0.0214634
50.40234375	0.997164752	-0.0223834
50.50195313	1.029672218	-0.0233334
50.6015625	1.074612024	-0.0242634
50.70117188	1.109618228	-0.0251434
50.80078125	1.151882694	-0.0260834
50.90039063	1.193102798	-0.0270034
51	1.232497511	-0.0279334
51.09960938	1.275978517	-0.0288834
51.19921875	1.318177325	-0.0297934
51.29882813	1.349026221	-0.0307254
51.3984375	1.39040756	-0.0315864
51.49804688	1.438869047	-0.0325275
51.59765625	1.469716546	-0.033461
51.69726563	1.516538672	-0.0343684
51.796875	1.55238458	-0.0353182
51.89648438	1.592694083	-0.0362489
51.99609375	1.636168687	-0.03713
52.09570313	1.674547675	-0.0380647
52.1953125	1.713428181	-0.0389647
52.29492188	1.755335019	-0.039899
52.39453125	1.798400073	-0.0408326
52.49414063	1.836827258	-0.0417382
52.59375	1.875989255	-0.0426826
52.69335938	1.912205014	-0.043602
52.79296875	1.959658461	-0.0445629
52.89257813	1.995675266	-0.0454592
52.9921875	2.037930069	-0.0463865
53.09179688	2.077570884	-0.0473086
53.19140625	2.115032636	-0.0482287
53.29101563	2.153730253	-0.0491334
53.390625	2.196463523	-0.0500666
53.49023438	2.23488803	-0.0510001
53.58984375	2.268485492	-0.051907
53.68945313	2.312791534	-0.0527992
53.7890625	2.352571348	-0.0536993
53.88867188	2.394516254	-0.054667
53.98828125	2.439046046	-0.0555777
54.08789063	2.478203503	-0.0565421
54.1875	2.51755421	-0.0574462
54.28710938	2.555397805	-0.0583652
54.38671875	2.597939456	-0.0592663
54.48632813	2.634832868	-0.0602022
54.5859375	2.672760515	-0.0611108
54.68554688	2.717627212	-0.0620354
54.78515625	2.753703389	-0.0629367
54.88476563	2.793716267	-0.0638988
54.984375	2.837315435	-0.0647984
55.08398438	2.873458201	-0.065732
55.18359375	2.915509278	-0.0666279
55.28320313	2.953944495	-0.0675747
55.3828125	2.993257949	-0.0684703
55.48242188	3.032150678	-0.0694254
55.58203125	3.079401329	-0.0703082
55.68164063	3.113420447	-0.071228
55.78125	3.151032142	-0.0721243
55.88085938	3.194816178	-0.0730852
55.98046875	3.23671801	-0.0739969
56.08007813	3.277105978	-0.0749279
56.1796875	3.313822672	-0.0758008
56.27929688	3.355980618	-0.0767371
56.37890625	3.397413762	-0.0776651
56.47851563	3.436288564	-0.0786002
56.578125	3.475223202	-0.0795332
56.67773438	3.513654461	-0.0804644
56.77734375	3.555967705	-0.0813997
56.87695313	3.592299996	-0.0823056
56.9765625	3.635950619	-0.0832047
57.07617188	3.674638458	-0.0841404
57.17578125	3.715165192	-0.0850084
57.27539063	3.759653307	-0.0859535
57.375	3.795950674	-0.086866
57.47460938	3.839192679	-0.0877986
57.57421875	3.87744722	-0.0887188
57.67382813	3.916914575	-0.0896206
57.7734375	3.95505596	-0.0905518
57.87304688	3.996508662	-0.0914656
57.97265625	4.038009327	-0.0923992
58.07226563	4.076505546	-0.0933327
58.171875	4.1176714	-0.0942046
58.27148438	4.152600653	-0.0950931
58.37109375	4.197109025	-0.0960946
58.47070313	4.235882312	-0.0969998
58.5703125	4.277640488	-0.0979186
58.66992188	4.310324322	-0.0988331
58.76953125	4.359384067	-0.0997328
58.86914063	4.39379504	-0.100683
58.96875	4.435256124	-0.1015892
59.06835938	4.473531153	-0.1025225
59.16796875	4.514044151	-0.1034438
59.26757813	4.554918036	-0.1043657
59.3671875	4.593573511	-0.1052696
59.46679688	4.636232276	-0.1061658
59.56640625	4.671440925	-0.1070992
59.66601563	4.714884795	-0.1080321
59.765625	4.756001756	-0.1089458
59.86523438	4.79425909	-0.1098993
59.96484375	4.83486522	-0.1108263
60.06445313	4.876375198	-0.1116993
60.1640625	4.909512121	-0.1126384
60.26367188	4.958854523	-0.1135092
60.36328125	4.995170981	-0.1144666
60.46289063	5.035630427	-0.1154184
60.5625	5.070347339	-0.1163115
60.66210938	5.118095782	-0.1172328
60.76171875	5.158033688	-0.1181621
60.86132813	5.197115242	-0.1190711
60.9609375	5.23011107	-0.1200009
61.06054688	5.27323084	-0.1209364
61.16015625	5.314762704	-0.1218662
61.25976563	5.355950445	-0.1227213
61.359375	5.392291117	-0.1236468
61.45898438	5.430950783	-0.1245788
61.55859375	5.474333651	-0.1254992
61.65820313	5.517676473	-0.1264285
61.7578125	5.555544514	-0.1273627
61.85742188	5.5935774	-0.1282948
61.95703125	5.63443359	-0.1291662
62.05664063	5.672468804	-0.1300559
62.15625	5.712231621	-0.1310319
62.25585938	5.754010752	-0.1319615
62.35546875	5.794431549	-0.1328858
62.45507813	5.833103787	-0.1337989
62.5546875	5.874733906	-0.1347331
62.65429688	5.910963751	-0.1355983
62.75390625	5.947749596	-0.1365316
62.85351559	5.993244238	-0.1373989
62.95312499	6.032153033	-0.1383581
63.05273439	6.070964504	-0.1393073
63.15234379	6.11470174	-0.1402071
63.25195309	6.152306683	-0.1411189
63.35156249	6.195670459	-0.1420277
63.45117189	6.236235611	-0.1429508
63.55078129	6.27278816	-0.143899
63.65039059	6.314147729	-0.1448252
63.74999999	6.351963617	-0.1457364
63.84960939	6.389185321	-0.1466596
63.94921879	6.433948409	-0.147532
64.04882809	6.476334762	-0.1484569
64.14843749	6.5153162	-0.1493924
64.24804689	6.552896928	-0.1502927
64.34765629	6.592953578	-0.1512495
64.44726559	6.635960657	-0.1521731
64.54687499	6.674520671	-0.1530589
64.64648439	6.71163993	-0.1539402
64.74609379	6.753556896	-0.1548747
64.84570309	6.794569548	-0.1558012
64.94531249	6.834165659	-0.1567846
65.04492189	6.872453261	-0.1576936
65.14453129	6.915059406	-0.1585809
65.24414059	6.952262484	-0.159497
65.34374999	6.990583148	-0.1604389
65.44335939	7.033206988	-0.1613334
65.54296879	7.073815912	-0.16226
65.64257809	7.115148474	-0.1631946
65.74218749	7.155701052	-0.1641263
65.84179689	7.194507867	-0.1650045
65.94140629	7.231703494	-0.1659297
66.04101559	7.274586707	-0.1668422
66.14062499	7.309035398	-0.167795
66.24023439	7.349330466	-0.1686956
66.33984379	7.388564758	-0.1696182
66.43945309	7.433967665	-0.1704964
66.53906249	7.469532546	-0.1714071
66.63867189	7.50967348	-0.1723638
66.73828129	7.551271003	-0.1732851
66.83789059	7.590577938	-0.174199
66.93749999	7.629976142	-0.1751154
67.03710939	7.670279592	-0.176028
67.13671879	7.718163542	-0.176938
67.23632809	7.752419915	-0.1778303
67.33593749	7.791053038	-0.1787813
67.43554689	7.827734575	-0.1797157
67.53515629	7.868086919	-0.1806312
67.63476559	7.910843007	-0.1815384
67.73437499	7.949594408	-0.1824603
67.83398439	7.991855964	-0.183368
67.93359379	8.03380087	-0.1842891
