Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[%rad]
39.046875	0.002934202	6.39E-06
39.14648438	-0.00075029	9.51E-06
39.24609375	-4.98E-05	9.77E-06
39.34570313	0.002942817	8.65E-06
39.4453125	0.000334898	9.37E-06
39.54492188	-0.003461693	-1.39E-05
39.64453125	0.001190934	-3.09E-06
39.74414063	-0.001757011	-5.12E-05
39.84375	-0.000153697	4.69E-06
39.94335938	0.000290146	1.95E-05
40.04296875	0.000952894	-1.51E-06
40.14257813	0.001760228	1.86E-05
40.2421875	0.000657994	3.85E-06
40.34179688	0.000745717	2.81E-05
40.44140625	-0.000751273	-2.44E-05
40.54101563	-0.003966516	-2.09E-05
40.640625	0.002113173	-2.36E-05
40.74023438	0.00205202	-1.91E-05
40.83984375	-0.000159748	-3.07E-05
40.93945313	0.002836091	-2.70E-06
41.0390625	0.003337714	8.67E-06
41.13867188	-0.000780902	-1.14E-05
41.23828125	0.002096707	8.30E-06
41.33789063	0.000304525	9.52E-06
41.4375	0.001425438	-1.42E-05
41.53710938	0.000256464	-2.11E-05
41.63671875	-0.000114353	-2.40E-05
41.73632813	-0.001400819	9.93E-06
41.8359375	-0.002587398	-2.68E-07
41.93554688	-0.002614445	-2.68E-07
42.03515625	-0.000818225	-1.12E-05
42.13476563	0.004731487	1.34E-05
42.234375	-0.000661189	3.48E-05
42.33398438	-0.00066585	-3.31E-05
42.43359375	0.001493676	-5.27E-05
42.53320313	-0.001397357	1.56E-05
42.6328125	0.002128517	-2.72E-06
42.73242188	-0.001897979	5.56E-06
42.83203125	0.002625348	-3.17E-05
42.93164063	0.002123969	-2.40E-05
43.03125	0.001596863	4.67E-06
43.13085938	-0.001373051	-2.08E-05
43.23046875	-0.00188822	-1.37E-05
43.33007813	9.77E-06	9.28E-06
43.4296875	-0.000320911	9.77E-06
43.52929688	0.00096838	7.92E-07
43.62890625	-0.000836497	-1.33E-05
43.72851563	0.00212041	-2.48E-05
43.828125	-0.001586444	-4.38E-06
43.92773438	0.002640383	-2.35E-05
44.02734375	-0.000193827	-3.99E-05
44.12695313	-0.002724968	1.10E-05
44.2265625	-0.001882342	1.84E-05
44.32617188	-0.000915138	-1.59E-05
44.42578125	-0.000325083	1.21E-05
44.52539063	0.000872386	-2.11E-05
44.625	0.001333163	9.26E-06
44.72460938	-0.002736231	-2.36E-05
44.82421875	-0.001545567	-1.98E-06
44.92382813	-0.00448896	-4.82E-06
45.0234375	0.003147725	-2.40E-05
45.12304688	0.000358612	-1.99E-05
45.22265625	-0.002141044	1.53E-05
45.32226563	0.003591113	9.16E-06
45.421875	0.003718919	8.70E-06
45.52148438	0.002644155	-5.46E-06
45.62109375	-0.002340626	-2.23E-05
45.72070313	0.004560771	4.87E-06
45.8203125	-0.001582009	-1.33E-05
45.91992188	0.000544788	-2.25E-05
46.01953125	-0.003340173	-3.10E-06
46.11914063	-0.002360706	-1.55E-05
46.21875	0.003536573	-3.34E-05
46.31835938	-0.000694568	1.38E-05
46.41796875	-0.000603371	-3.29E-06
46.51757813	-0.006190927	4.12E-05
46.6171875	0.001412194	8.84E-06
46.71679688	-0.000888156	-1.34E-05
46.81640625	0.001204806	-2.76E-06
46.91601563	-0.000485652	-4.33E-05
47.015625	0.000532493	-2.14E-05
47.11523438	-0.00094886	-4.38E-06
47.21484375	-0.005405633	-2.30E-05
47.31445313	-0.000451068	-2.46E-05
47.4140625	0.003119036	-9.85E-06
47.51367188	-0.002369594	-2.49E-05
47.61328125	0.000500928	9.20E-06
47.71289063	-0.002149761	7.50E-06
47.8125	0.000612138	9.12E-06
47.91210938	0.000318836	9.06E-06
48.01171875	-0.003388601	6.74E-06
48.11132813	-0.001160263	-1.62E-05
48.2109375	-0.001245137	-2.70E-05
48.31054688	0.00188462	-3.36E-05
48.41015625	-0.001452883	-6.33E-06
48.50976563	-0.001070927	1.01E-05
48.609375	0.001608112	-1.64E-05
48.70898438	2.24E-05	9.52E-06
48.80859375	-0.004025285	3.50E-06
48.90820313	0.000873105	8.60E-06
49.0078125	0.00056572	8.18E-06
49.10742188	0.001105133	-2.18E-05
49.20703125	-0.001770043	7.63E-06
49.30664063	0.001307048	-2.46E-05
49.40625	-0.000608042	-2.48E-05
49.50585938	0.001018869	-1.30E-06
49.60546875	-0.000680919	8.50E-06
49.70507813	0.002241054	5.56E-06
49.8046875	-7.38E-05	-3.17E-05
49.90429688	-0.002611568	4.71E-06
50.00390625	-0.000141907	-3.38E-06
50.10351563	-0.002307045	-2.50E-05
50.203125	0.001791036	9.87E-06
50.30273438	-0.001060634	-3.37E-05
50.40234375	0.002848806	3.93E-06
50.50195313	-0.004711203	7.85E-06
50.6015625	0.001181269	-8.42E-06
50.70117188	0.000284518	-1.24E-05
50.80078125	0.002601352	-2.16E-05
50.90039063	-0.001660599	-5.25E-05
51	-0.001337977	-3.71E-05
51.09960938	-0.000277089	-4.71E-06
51.19921875	0.001592474	-2.33E-05
51.29882813	0.003068867	-2.32E-06
51.3984375	0.000841464	8.84E-06
51.49804688	6.92E-05	7.50E-06
51.59765625	0.003709604	8.45E-06
51.69726563	0.001676357	8.34E-06
51.796875	0.002594321	8.99E-06
51.89648438	0.000661969	8.85E-06
51.99609375	-0.0040614	-1.68E-05
52.09570313	-0.000521666	-1.96E-05
52.1953125	-0.001874364	-1.99E-05
52.29492188	0.000237122	2.72E-06
52.39453125	-0.000485872	-2.46E-05
52.49414063	0.002819778	-2.27E-06
52.59375	0.000106385	5.95E-06
52.69335938	0.000433043	8.57E-06
52.79296875	-0.002886729	8.41E-06
52.89257813	0.005445421	8.59E-06
52.9921875	-0.005491986	-2.45E-05
53.09179688	-0.003051239	-2.43E-05
53.19140625	0.00171021	-1.72E-05
53.29101563	0.000932199	-4.55E-06
53.390625	0.001341332	-5.06E-06
53.49023438	-0.001966868	-2.45E-05
53.58984375	-0.00399186	-2.42E-05
53.68945313	-0.001000054	9.02E-06
53.7890625	0.002289378	9.74E-06
53.88867188	-0.002148491	-1.08E-05
53.98828125	-0.002776788	7.83E-06
54.08789063	0.001242877	7.35E-06
54.1875	-0.002699989	1.99E-05
54.28710938	0.001483467	7.95E-06
54.38671875	0.002521946	4.39E-06
54.48632813	-0.002158105	9.13E-06
54.5859375	0.000158211	-2.58E-05
54.68554688	-0.000632153	-2.43E-05
54.78515625	-0.00314313	-2.45E-05
54.88476563	0.000579448	-4.28E-06
54.984375	0.001648233	-1.28E-06
55.08398438	-0.00331003	-1.62E-06
55.18359375	-0.003806668	8.95E-06
55.28320313	0.001182691	-2.25E-05
55.3828125	-0.003361258	2.83E-05
55.48242188	-0.000600435	4.95E-06
55.58203125	-0.003789524	-1.24E-05
55.68164063	0.0029283	7.85E-06
55.78125	0.001916214	-2.58E-05
55.88085938	0.006122488	-1.02E-06
55.98046875	0.001619764	3.31E-06
56.08007813	0.004449315	-1.57E-06
56.1796875	-0.000287563	-5.91E-06
56.27929688	0.001941342	6.80E-06
56.37890625	-0.001401626	7.46E-06
56.47851563	-0.000591501	7.51E-06
56.578125	6.36E-05	-2.33E-05
56.67773438	0.001682353	6.24E-06
56.77734375	-0.000158376	7.82E-06
56.87695313	0.000134484	-5.39E-06
56.9765625	-0.001029989	1.68E-05
57.07617188	0.001164251	-3.89E-06
57.17578125	0.00231576	-3.17E-05
57.27539063	0.000920545	-3.03E-05
57.375	0.001906087	-1.09E-05
57.47460938	0.000971398	-4.18E-06
57.57421875	0.000681971	6.98E-06
57.67382813	0.001595378	8.37E-06
57.7734375	0.000520563	-1.26E-05
57.87304688	0.000108825	5.79E-06
57.97265625	0.001516109	8.27E-06
58.07226563	-0.000697967	7.11E-06
58.171875	-0.002787176	-1.54E-06
58.27148438	0.002395294	-1.67E-05
58.37109375	0.001983672	-2.54E-05
58.47070313	0.00143714	-1.73E-05
58.5703125	0.001330713	-4.35E-05
58.66992188	0.000492089	1.15E-05
58.76953125	0.000916372	5.02E-05
58.86914063	-0.003552018	-3.97E-06
58.96875	-0.000117332	-4.19E-06
59.06835938	0.001735827	-2.24E-05
59.16796875	-0.001391077	-1.49E-06
59.26757813	-0.000338624	-1.62E-05
59.3671875	0.000875512	8.18E-06
59.46679688	-0.000910423	7.08E-06
59.56640625	-0.000784014	7.38E-06
59.66601563	-0.002620972	8.34E-06
59.765625	0.000646588	7.67E-06
59.86523438	-0.004032936	7.05E-06
59.96484375	0.002280826	6.76E-06
60.06445313	-0.001945101	-2.59E-05
60.1640625	0.002808871	7.09E-06
60.26367188	0.001440616	7.26E-06
60.36328125	-0.001280416	3.14E-07
60.46289063	-0.000899208	-3.45E-05
60.5625	0.001505479	-2.59E-05
60.66210938	0.001402261	4.27E-06
60.76171875	0.001335046	8.39E-06
60.86132813	0.001630969	7.59E-06
60.9609375	-0.005461815	7.25E-06
61.06054688	-0.000917402	8.01E-06
61.16015625	0.002259817	7.65E-06
61.25976563	0.001116414	6.50E-06
61.359375	-0.002901837	6.59E-06
61.45898438	0.002247864	-2.57E-05
61.55859375	0.002841198	-1.82E-06
61.65820313	-0.003195643	-2.48E-05
61.7578125	-0.003009413	-7.90E-06
61.85742188	-0.000482734	-1.81E-05
61.95703125	-0.000221794	-4.64E-06
62.05664063	-0.000785122	-5.94E-07
62.15625	0.000442373	-1.88E-05
62.25585938	-0.002808993	-3.51E-05
62.35546875	0.000660166	-2.54E-05
62.45507813	-0.001159629	-2.87E-05
62.5546875	0.002455575	5.24E-06
62.65429688	0.001809268	7.08E-06
62.75390625	0.001753677	8.16E-06
62.85351563	-0.000598108	7.18E-06
62.953125	-6.22E-05	4.32E-06
63.05273438	0.003768154	8.09E-06
63.15234375	-0.000674015	6.54E-06
63.25195313	4.28E-05	7.81E-06
63.3515625	-0.001262131	6.30E-06
63.45117188	0.001305635	6.38E-06
63.55078125	0.002686517	7.74E-06
63.65039063	-0.002862148	6.02E-06
63.75	0.002848407	1.92E-05
63.84960938	0.002140195	8.82E-06
63.94921875	-0.000910245	-2.73E-05
64.04882813	-0.00161272	-5.37E-06
64.1484375	-0.001054021	-5.53E-05
64.24804688	0.003247994	1.05E-05
64.34765625	0.001462727	-4.75E-05
64.44726563	0.000466567	7.36E-06
64.546875	-0.004934557	9.98E-06
64.64648438	0.00284494	-3.70E-06
64.74609375	-0.000999165	7.07E-06
64.84570313	-0.00230274	6.80E-06
64.9453125	0.001454304	7.96E-06
65.04492188	0.001214889	6.95E-06
65.14453125	0.001506023	6.76E-06
65.24414063	-0.003992418	1.11E-05
65.34375	0.000396216	1.52E-05
65.44335938	-0.001414336	7.07E-06
65.54296875	-0.002746734	-4.68E-05
65.64257813	0.004696214	-4.38E-05
65.7421875	4.14E-05	1.12E-05
65.84179688	0.003237846	-6.29E-07
65.94140625	0.002500822	3.14E-05
66.04101563	0.003070632	-2.35E-06
66.140625	-0.001432974	-1.72E-05
66.24023438	-0.000238767	-1.81E-05
66.33984375	-0.000369369	-1.33E-05
66.43945313	-0.004250055	7.75E-06
66.5390625	-0.002689108	7.08E-06
66.63867188	-0.003117473	5.95E-06
66.73828125	-0.001068313	-3.81E-05
