Time[sec]	Top_Inplane_Disp[mm]	Top_Outofplane_Disp[mm]	Top_Inplane_Rotation[rad]
32.87109375	-0.004517852	-0.004649046	7.31E-08
32.97070313	0.003619491	-0.003766558	1.58E-07
33.0703125	-0.000941428	-0.002525172	1.45E-07
33.16992188	-0.004930053	-0.000600471	1.38E-07
33.26953125	-0.003873348	-0.001042601	-2.18E-07
33.36914063	-0.000681054	0.00331734	1.42E-07
33.46875	-0.00510777	-0.001329928	1.29E-07
33.56835938	-0.001609407	0.002635016	1.60E-07
33.66796875	-0.004765052	0.000889699	6.18E-07
33.76757813	-0.003541375	-0.001186554	1.43E-07
33.8671875	0.002518916	0.002873466	-9.06E-08
33.96679688	0.002367574	-0.000111085	4.37E-07
34.06640625	0.001630453	-0.002225004	3.08E-07
34.16601563	-0.001420459	-0.00161231	1.46E-07
34.265625	-0.004385829	0.002355493	1.96E-07
34.36523438	-0.001042537	0.003654952	9.59E-08
34.46484375	-0.000430853	-0.001023437	1.42E-07
34.56445313	-0.004092566	-0.000588518	2.62E-07
34.6640625	-0.002818724	0.001011549	1.37E-07
34.76367188	-0.001056436	0.00123222	3.01E-07
34.86328125	-0.002343938	-0.000511148	1.50E-07
34.96289063	-0.002586095	7.09E-06	2.10E-09
35.0625	-0.005659751	0.001243002	-6.89E-08
35.16210938	-0.002227406	-0.001151914	-1.79E-07
35.26171875	0.001795879	0.000503672	1.36E-07
35.36132813	-0.002824397	0.004199514	2.10E-07
35.4609375	-0.003255021	-0.001861472	1.42E-07
35.56054688	-0.002498469	0.000240602	-8.45E-08
35.66015625	-0.004113101	-0.002741371	-6.24E-08
35.75976563	-0.004955535	-0.003063217	-1.62E-07
35.859375	-0.001980665	0.003169467	1.51E-07
35.95898438	-0.003439628	0.000634162	1.35E-07
36.05859375	-0.001890945	0.001338675	-2.04E-07
36.15820313	-0.001616117	0.00194333	1.35E-07
36.2578125	-0.000367439	-0.004938521	4.37E-07
36.35742188	-0.002405216	-0.000591184	4.72E-07
36.45703125	0.002515457	-0.000747308	-5.38E-08
36.55664063	0.003123297	0.003309274	1.22E-07
36.65625	0.002286357	0.001118297	1.03E-07
36.75585938	-0.001487953	0.003731226	2.02E-07
36.85546875	-0.00590297	-0.001361022	1.63E-07
36.95507813	0.001116791	0.000965406	3.07E-08
37.0546875	-0.002062025	0.003819537	1.25E-07
37.15429688	3.06E-05	-0.002714266	3.55E-07
37.25390625	-0.000693614	0.005128798	1.18E-07
37.35351563	-0.003151736	0.003660951	-7.73E-08
37.453125	-0.000924029	-0.002839052	-2.33E-09
37.55273438	-0.002294594	-0.000807016	-7.38E-08
37.65234375	-0.002453348	0.002009923	1.36E-07
37.75195313	-0.002052376	-0.004352562	8.54E-08
37.8515625	-0.003245527	0.002538786	1.25E-07
37.95117188	-0.003619926	0.002936606	3.49E-08
38.05078125	-0.006406351	0.000338776	1.32E-07
38.15039063	-0.001174041	0.002257716	9.34E-08
38.25	-4.12E-06	0.003610226	-2.07E-07
38.34960938	0.000921226	-0.000382239	-1.84E-07
38.44921875	0.000312028	0.001530165	4.23E-07
38.54882813	-0.004053317	0.003136913	5.36E-09
38.6484375	-0.001519132	-0.003521551	4.62E-07
38.74804688	-0.005696743	-0.001073901	-2.00E-07
38.84765625	0.001661193	0.003946186	1.20E-07
38.94726563	-0.00548178	-0.006502439	1.80E-07
39.046875	-0.002136594	0.001437876	1.23E-07
39.14648438	-0.002989529	-0.001861301	1.35E-07
39.24609375	-0.001177812	-0.000224992	8.50E-08
39.34570313	0.000363793	0.002325878	2.42E-07
39.4453125	-0.002583699	0.000235633	1.38E-07
39.54492188	-8.16E-05	0.000358484	2.96E-08
39.64453125	-0.007353242	0.00116104	1.27E-07
39.74414063	0.003946733	-0.000167216	-3.78E-07
39.84375	-0.001041538	0.001005408	1.22E-07
39.94335938	0.000560072	-0.005121714	1.88E-07
40.04296875	-0.003998511	-0.005619375	1.47E-07
40.14257813	-0.002017283	-0.000248115	1.28E-07
40.2421875	-0.001381742	-6.87E-05	4.18E-07
