Time[sec]	Top_Inplane_Disp[mm]
127.3242188	12.43105903
127.5244141	12.4514401
127.7246094	12.46963441
127.9248047	12.49021851
128.125	12.50852179
128.3251953	12.53255177
128.5253906	12.54767738
128.7255859	12.56816182
128.9257813	12.59131823
129.1259766	12.61044573
129.3261719	12.62965146
129.5263672	12.65106257
129.7265625	12.67078985
129.9267578	12.68983912
130.1269531	12.71003205
130.3271484	12.73132861
130.5273438	12.75337115
130.7275391	12.76987977
130.9277344	12.79248204
131.1279297	12.81015761
131.328125	12.834155
131.5283203	12.85342686
131.7285156	12.87239324
131.9287109	12.89490238
132.1289063	12.90490478
132.3291016	12.93620188
132.5292969	12.95208465
132.7294922	12.9750045
132.9296875	12.9907392
133.1298828	13.01081572
133.3300781	13.0300289
133.5302734	13.0525399
133.7304688	13.06886971
133.9306641	13.09112832
134.1308594	13.10970169
134.3310547	13.12979963
134.53125	13.1491432
134.7314453	13.16772588
134.9316406	13.18856049
135.1318359	13.21177743
135.3320313	13.23130634
135.5322266	13.2550234
135.7324219	13.26929312
135.9326172	13.29293568
136.1328125	13.31202872
136.3330078	13.33113387
136.5332031	13.35357223
136.7333984	13.37125618
136.9335938	13.3916745
137.1337891	13.41065113
137.3339844	13.43243942
137.5341797	13.45228031
137.734375	13.46720289
137.9345703	13.48997373
138.1347656	13.51144817
138.3349609	13.52977753
138.5351563	13.54980189
138.7353516	13.57071195
138.9355469	13.59417103
139.1357422	13.61342333
139.3359375	13.63337319
139.5361328	13.65251653
139.7363281	13.6714261
139.9365234	13.69008236
140.1367188	13.70919961
140.3369141	13.72502558
140.5371094	13.74958549
140.7373047	13.77487276
140.9375	13.79120722
141.1376953	13.81319482
141.3378906	13.83437775
141.5380859	13.85216508
141.7382813	13.87639623
141.9384766	13.89541756
142.1386719	13.90894223
142.3388672	13.93029653
142.5390625	13.95227015
142.7392578	13.97081465
142.9394531	13.98923714
143.1396484	14.00978956
143.3398438	14.0284868
143.5400391	14.05433752
143.7402344	14.07279074
143.9404297	14.0905045
144.140625	14.10917472
144.3408203	14.12968151
144.5410156	14.14779108
144.7412109	14.16853443
144.9414063	14.19129875
145.1416016	14.20686115
145.3417969	14.22897168
145.5419922	14.2517481
145.7421875	14.27548379
145.9423828	14.28980008
146.1425781	14.30969033
146.3427734	14.32777103
146.5429688	14.35012743
146.7431641	14.37266264
146.9433594	14.38618172
147.1435547	14.41234536
147.34375	14.43113107
147.5439453	14.44852725
147.7441406	14.47154395
147.9443359	14.4918384
148.1445313	14.51575663
148.3447266	14.53674678
148.5449219	14.55240604
148.7451172	14.5724453
148.9453125	14.59330507
149.1455078	14.61062208
149.3457031	14.63365834
149.5458984	14.6470163
149.7460938	14.64563049
149.9462891	14.63126019
150.1464844	14.60617222
150.3466797	14.58077133
150.546875	14.56005033
150.7470703	14.53863829
150.9472656	14.5187946
151.1474609	14.49928246
151.3476563	14.47845437
151.5478516	14.4538302
151.7480469	14.4385742
151.9482422	14.41721432
152.1484375	14.39024135
